episode,reward,M
1354,1055.9814846392844,32
167,1340.3965163784362,32
1783,1392.0225875740189,32
1782,579.9939835390243,32
1423,886.9502844296803,32
2289,1082.918113234874,32
1024,900.526792871555,32
923,1096.7557495872773,32
301,1233.0170862045857,32
1653,962.3423044929067,32
1119,1410.4117430353012,32
1509,931.8477945591424,32
528,1142.967238354154,32
305,1340.1506235185584,32
310,1473.3360216194696,32
255,625.4541321814078,64
1301,814.3647734124663,64
1498,1289.5600425437974,64
2420,1077.6682078007527,64
864,1594.28681962263,64
2381,546.8279090946088,64
419,978.5060789022293,64
803,1089.2920253716209,64
1163,731.1387260922506,64
2330,1223.040070104879,64
1615,1242.9799686497802,64
807,844.7320782530928,64
783,1049.7536040122957,64
231,904.5634292470744,64
999,1047.673436759509,64
1358,1048.3395880915004,64
623,1076.61039288678,64
795,1248.49485211032,64
144,980.7673240468563,64
2064,827.2051518318033,64
2138,847.6648104116194,64
1627,1223.1445067524262,64
604,1010.7296131450113,64
200,1118.7496718041448,64
1812,1152.7352496123408,64
1257,700.5220775904256,64
1680,911.3464650855873,64
